strategy_id,strategy_headline,label,mapping_mode,best_action_id,best_action_headline,best_similarity,best_boosted_similarity,best_action_linked_to_strategy,top1_action_id,top1_action_headline,top1_sim,top1_boosted,top2_action_id,top2_action_headline,top2_sim,top2_boosted,top3_action_id,top3_action_headline,top3_sim,top3_boosted
SO1.1,"Redesign all undergraduate programs to incorporate project-based learning, industry case studies, and interdisciplinary approaches by 2026",Partial,linked_to,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.5935255289077759,0.7935255289077758,True,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.5935255289077759,0.7935255289077758,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.3841707110404968,0.5841707110404968,,,,
SO1.2,Achieve international accreditation (ABET/EUR-ACE) for all engineering programs by 2027,Partial,linked_to,A1.3,Action A1.3: Initiate ABET Accreditation Process,0.5130847692489624,0.7130847692489624,True,A1.3,Action A1.3: Initiate ABET Accreditation Process,0.5130847692489624,0.7130847692489624,,,,,,,,
SO1.3,"Develop and launch 5 new postgraduate specializations in emerging technologies (AI, Renewable Energy, Cybersecurity, Biomedical Engineering, Smart Manufacturing) by 2025",Strong,linked_to,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.6031814217567444,0.8031814217567443,True,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.6031814217567444,0.8031814217567443,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4418404698371887,0.6418404698371887,,,,
SO1.4,Increase faculty with doctoral qualifications from 65% to 85% by 2028,Partial,linked_to,A1.5,Action A1.5: Faculty Development Scholarship Program,0.45616257190704346,0.6561625719070434,True,A1.5,Action A1.5: Faculty Development Scholarship Program,0.45616257190704346,0.6561625719070434,,,,,,,,
SO1.5,Implement continuous curriculum review processes with bi-annual industry advisory board consultations,Not Covered (Year-1),embedding_fallback,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.43610358238220215,0.43610358238220215,False,A1.1,Action A1.1: Establish Curriculum Innovation Task Force,0.43610358238220215,0.43610358238220215,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.4292391538619995,0.4292391538619995,A5.2,Action A5.2: Industry Advisory Council Formation,0.3771965503692627,0.3771965503692627
SO2.1,Establish a comprehensive Career Development Center with dedicated career counselors and industry liaison officers by 2024,Not Covered (Year-1),embedding_fallback,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4939810633659363,0.4939810633659363,False,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4939810633659363,0.4939810633659363,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4840519428253174,0.4840519428253174,A2.2,Action A2.2: Internship Partnership Development,0.4577590227127075,0.4577590227127075
SO2.2,Mandate internship/co-op experiences for 100% of undergraduate students with minimum 12-week industry placements,Partial,linked_to,A2.2,Action A2.2: Internship Partnership Development,0.5072563886642456,0.7072563886642456,True,A2.2,Action A2.2: Internship Partnership Development,0.5072563886642456,0.7072563886642456,,,,,,,,
SO2.3,"Develop soft skills and professional development programs including communication, leadership, and entrepreneurship training",Partial,linked_to,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4331890344619751,0.633189034461975,True,A2.3,Action A2.3: Launch Professional Skills Development Program,0.4331890344619751,0.633189034461975,,,,,,,,
SO2.4,"Create mentorship programs connecting students with alumni and industry professionals, targeting 500 active mentorships by 2026",Strong,linked_to,A2.4,Action A2.4: Alumni Mentorship Program Launch,0.7537171840667725,0.9537171840667724,True,A2.4,Action A2.4: Alumni Mentorship Program Launch,0.7537171840667725,0.9537171840667724,,,,,,,,
SO2.5,Implement early warning systems and academic support programs to reduce dropout rates by 30%,Partial,linked_to,A2.5,Action A2.5: Academic Early Warning System Implementation,0.45700371265411377,0.6570037126541137,True,A2.5,Action A2.5: Academic Early Warning System Implementation,0.45700371265411377,0.6570037126541137,,,,,,,,
SO2.6,Launch an Innovation & Entrepreneurship Hub to support student startups and innovation projects,Not Covered (Year-1),embedding_fallback,A5.3,Action A5.3: STEM Outreach Program Launch,0.4504382014274597,0.4504382014274597,False,A5.3,Action A5.3: STEM Outreach Program Launch,0.4504382014274597,0.4504382014274597,A5.4,Action A5.4: Alumni Engagement Platform & Database,0.38981640338897705,0.38981640338897705,A1.2,Action A1.2: Pilot Project-Based Learning in 4 Core Courses,0.37302225828170776,0.37302225828170776
SO3.1,Increase annual research output to 200+ publications in indexed journals by 2028,Weak,linked_to,A3.2,Action A3.2: Research Grant Application Support Program,0.3292314410209656,0.5292314410209655,True,A3.2,Action A3.2: Research Grant Application Support Program,0.3292314410209656,0.5292314410209655,,,,,,,,
SO3.2,"Establish 4 Centers of Research Excellence in: Artificial Intelligence & Machine Learning, Sustainable Energy Systems, Advanced Manufacturing, Healthcare Technology",Not Covered (Year-1),embedding_fallback,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4469456672668457,0.4469456672668457,False,A1.4,Action A1.4: Develop AI & Machine Learning Specialization,0.4469456672668457,0.4469456672668457,A2.5,Action A2.5: Academic Early Warning System Implementation,0.4424014091491699,0.4424014091491699,A4.2,Action A4.2: Laboratory Modernization Phase 1,0.411202073097229,0.411202073097229
SO3.3,Secure external research funding of $5M annually by 2027 through competitive grants and industry partnerships,Partial,linked_to,A3.2,Action A3.2: Research Grant Application Support Program,0.4068552851676941,0.606855285167694,True,A3.2,Action A3.2: Research Grant Application Support Program,0.4068552851676941,0.606855285167694,,,,,,,,
SO3.4,"Increase postgraduate research student enrollment by 40%, targeting 300 PhD and 600 Master's students by 2028",Partial,linked_to,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.49662303924560547,0.6966230392456054,True,A3.3,Action A3.3: Postgraduate Recruitment Campaign,0.49662303924560547,0.6966230392456054,,,,,,,,
