strategy_id,strategy_headline,current_label,best_action_id,best_boosted_similarity,llm_proposed_strategy,llm_kpis_json,llm_citations,expert_relevance_1to5,expert_feasibility_1to5,expert_kpi_quality_1to5,expert_comments
SO3.6,Host biennial international conferences in key research areas,Not Covered (Year-1),A3.3,0.262607216835022,,[],,,,,
SO4.5,Establish a Data Analytics Center for institutional research and evidence-based decision making,Not Covered (Year-1),A2.5,0.3803552985191345,,[],,,,,
SO5.6,Develop international partnerships with 10 universities for student/faculty exchange programs,Not Covered (Year-1),A5.4,0.3977954387664795,,[],,,,,
SO1.5,Implement continuous curriculum review processes with bi-annual industry advisory board consultations,Not Covered (Year-1),A1.1,0.4361035823822021,,[],,,,,
SO3.2,"Establish 4 Centers of Research Excellence in: Artificial Intelligence & Machine Learning, Sustainable Energy Systems, Advanced Manufacturing, Healthcare Technology",Not Covered (Year-1),A1.4,0.4469456672668457,,[],,,,,
SO2.6,Launch an Innovation & Entrepreneurship Hub to support student startups and innovation projects,Not Covered (Year-1),A5.3,0.4504382014274597,,[],,,,,
SO4.1,Implement a comprehensive Learning Management System (LMS) with AI-powered personalized learning paths by 2025,Not Covered (Year-1),A1.4,0.4615839123725891,,[],,,,,
SO4.6,Develop hybrid learning capabilities for 80% of courses with quality online content,Not Covered (Year-1),A1.2,0.4681376814842224,,[],,,,,
SO5.1,Establish strategic partnerships with 15 leading technology companies and multinational corporations by 2026,Not Covered (Year-1),A4.4,0.4803103804588318,Establish strategic partnerships with 8 leading technology companies and multinational corporations by December 2024 to enhance industry engagement and research collaboration.,"[{""name"": ""Number of Strategic Partnerships"", ""metric"": ""Count"", ""target"": ""8"", ""timeframe"": ""December 2024""}]",A5.1,5,2,3,
SO2.1,Establish a comprehensive Career Development Center with dedicated career counselors and industry liaison officers by 2024,Not Covered (Year-1),A1.4,0.4939810633659363,"Establish a comprehensive Career Development Center with dedicated career counselors and industry liaison officers by May 2024, while concurrently launching professional skills development programs for all undergraduates.","[{""name"": ""Career Center Staffing Completion"", ""metric"": ""Percentage of staff positions filled"", ""target"": ""100%"", ""timeframe"": ""May 2024""}, {""name"": ""Professional Skills Workshop Participation Rate"", ""metric"": ""Number of workshops attended per student"", ""target"": ""40 hours"", ""timeframe"": ""June 2024 - December 2024""}, {""name"": ""Internship Placement Rate"", ""metric"": ""Percentage of students secured internships"", ""target"": ""80%"", ""timeframe"": ""December 2024""}]","A2.2, A2.3",3,4,4,
SO5.3,Launch collaborative research projects worth $3M with industry partners by 2027,Not Covered (Year-1),A3.2,0.5133407711982727,"Establish a collaborative research program by engaging industry partners to jointly develop and submit grant proposals worth $3M, aiming for at least 10 successful grants over the next three years.","[{""name"": ""Total Grant Applications Submitted"", ""metric"": ""Number of applications"", ""target"": ""40"", ""timeframe"": ""2024-2027""}, {""name"": ""Funding Target Achieved"", ""metric"": ""Total funding requested"", ""target"": ""$3M"", ""timeframe"": ""2027""}, {""name"": ""Successful Grant Applications"", ""metric"": ""Number of successful grants"", ""target"": ""10"", ""timeframe"": ""2024-2027""}]",A3.2,5,3,2,
SO3.1,Increase annual research output to 200+ publications in indexed journals by 2028,Weak,A3.2,0.5292314410209655,,[],,,,,
